fish_id,group,batch,clutch_id,plate_id,n_weight_drops,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,last_observed_dpf,n_lfp_sessions,became_epileptic,first_seizure_hours,high_burden_state_dpf6_TRUTH,survived_to_6dpf,max_manual_baraban_stage_observed,is_synthetic
LZTBI-0138,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,0,,0,True,1,False
LZTBI-0139,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,1,False
LZTBI-0140,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,1,False
LZTBI-0141,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,0,,0,True,1,False
LZTBI-0142,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,0,,0,True,1,False
LZTBI-0143,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,0,,0,True,1,False
LZTBI-0144,sham,2,CL04,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0145,sham,2,CL04,P02,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0146,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,0,,0,True,0,False
LZTBI-0147,tbi_low,2,CL04,P02,1,114.0,114.0,5,2,0,,0,False,0,False
LZTBI-0148,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0149,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,1,False
LZTBI-0150,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0151,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,1,,1,True,2,False
LZTBI-0152,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,0,False
LZTBI-0153,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,0,False
LZTBI-0154,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,0,False
LZTBI-0155,sham,2,CL04,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0156,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,1,,0,True,3,False
LZTBI-0157,sham,2,CL04,P02,0,0.0,0.0,6,3,1,,1,True,3,False
LZTBI-0158,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,0,,0,True,1,False
LZTBI-0159,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,1,False
LZTBI-0160,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,1,,1,True,3,False
LZTBI-0161,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0162,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0163,tbi_high,3,CL05,P03,1,309.6,309.6,6,3,0,,0,True,0,False
LZTBI-0164,sham,3,CL05,P03,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0165,tbi_high,3,CL05,P03,1,309.6,309.6,6,3,1,,1,True,3,False
LZTBI-0166,sham,3,CL05,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0167,sham,3,CL05,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0168,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,0,False
LZTBI-0169,tbi_high,3,CL05,P03,1,309.6,309.6,6,3,0,,0,True,1,False
LZTBI-0170,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,0,,0,True,1,False
LZTBI-0171,tbi_high,3,CL05,P03,1,309.6,309.6,6,3,0,,0,True,0,False
LZTBI-0172,tbi_high,3,CL05,P03,1,309.6,309.6,6,3,0,,0,True,0,False
LZTBI-0173,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0174,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,1,,1,True,3,False
LZTBI-0175,sham,3,CL05,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0176,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,1,,0,True,2,False
LZTBI-0177,tbi_high,3,CL05,P03,1,309.6,309.6,6,3,0,,0,True,0,False
LZTBI-0178,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,1,,0,True,2,False
LZTBI-0179,tbi_high,3,CL05,P03,1,309.6,309.6,6,3,1,,0,True,3,False
LZTBI-0180,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,1,,1,True,3,False
LZTBI-0181,sham,3,CL05,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0182,tbi_high,3,CL05,P03,1,309.6,309.6,6,3,0,,0,True,1,False
LZTBI-0183,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,0,,0,True,1,False
LZTBI-0184,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,2,False
LZTBI-0185,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,0,False
LZTBI-0186,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0187,tbi_low,3,CL05,P03,1,114.7,114.7,5,2,0,,0,False,2,False
LZTBI-0188,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0189,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,0,,0,True,2,False
LZTBI-0190,sham,3,CL05,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0191,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0192,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0193,tbi_low,3,CL05,P03,1,114.7,114.7,6,3,0,,0,True,0,False
LZTBI-0194,tbi_high,3,CL05,P03,1,309.6,309.6,5,2,1,,0,False,2,False
LZTBI-0195,sham,3,CL05,P03,0,0.0,0.0,6,3,1,,1,True,2,False
LZTBI-0196,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,1,,1,True,3,False
LZTBI-0197,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,1,,1,True,3,False
LZTBI-0198,sham,3,CL05,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0199,tbi_moderate,3,CL05,P03,1,212.9,212.9,6,3,1,,1,True,3,False
LZTBI-0200,sham,3,CL05,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0201,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0202,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,0,False
LZTBI-0203,tbi_low,3,CL06,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0204,tbi_low,3,CL06,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0205,tbi_low,3,CL06,P03,1,114.7,114.7,6,3,0,,0,True,0,False
LZTBI-0206,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0207,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,2,False
LZTBI-0208,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,1,False
LZTBI-0209,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,1,,1,True,3,False
LZTBI-0210,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,1,,1,True,3,False
LZTBI-0211,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0212,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,1,,1,True,2,False
LZTBI-0213,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0214,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,1,,1,True,3,False
LZTBI-0215,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,1,,1,True,3,False
LZTBI-0216,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,1,,1,True,3,False
LZTBI-0217,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,0,False
LZTBI-0218,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,0,False
LZTBI-0219,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,0,,0,True,0,False
LZTBI-0220,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,1,False
LZTBI-0221,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,1,False
LZTBI-0222,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,1,,1,True,3,False
LZTBI-0223,tbi_low,3,CL06,P03,1,114.7,114.7,6,3,1,,1,True,3,False
LZTBI-0224,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0225,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0226,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0227,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,1,False
LZTBI-0228,tbi_low,3,CL06,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0229,tbi_low,3,CL06,P03,1,114.7,114.7,6,3,0,,0,True,1,False
LZTBI-0230,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0231,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,1,,1,True,3,False
LZTBI-0232,tbi_low,3,CL06,P03,1,114.7,114.7,6,3,0,,0,True,0,False
LZTBI-0233,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0234,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,1,False
LZTBI-0235,sham,3,CL06,P03,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0236,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,0,,0,True,1,False
LZTBI-0237,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,0,,0,True,1,False
LZTBI-0238,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,0,,0,True,2,False
LZTBI-0239,tbi_high,3,CL06,P03,1,309.6,309.6,6,3,0,,0,True,1,False
LZTBI-0240,tbi_moderate,3,CL06,P03,1,212.9,212.9,6,3,1,,1,True,3,False
